x,y,sigxx,sigyy,sigxy
238, 0, -109866, 24815.7, -8.71048
238.5, 0, -109509, 24681.8, -0.153274
239, 0, -109155, 24546.8, 7.77204
239.5, 0, -108805, 24410.8, 15.0655
240, 0, -108459, 24273.6, 21.727
240.5, 0, -108116, 24135.4, 27.7567
241, 0, -107776, 23996.2, 33.1544
241.5, 0, -107440, 23855.9, 37.9203
242, 0, -107108, 23714.5, 42.0542
242.5, 0, -106779, 23573.2, 44.7521
243, 0, -106446, 23447.9, 35.9462
243.5, 0, -106114, 23322.8, 26.5291
244, 0, -105781, 23197.9, 16.5009
244.5, 0, -105449, 23073.2, 5.86153
245, 0, -105116, 22948.8, -5.38894
245.5, 0, -104783, 22824.6, -17.2505
246, 0, -104450, 22700.6, -29.7233
246.5, 0, -104117, 22576.8, -42.8071
247, 0, -103788, 22455, -50.5652
247.5, 0, -103476, 22340.9, -32.2779
248, 0, -103166, 22225.7, -15.4538
248.5, 0, -102858, 22109.3, -0.0930997
249, 0, -102552, 21991.8, 13.8043
249.5, 0, -102248, 21873.1, 26.2384
250, 0, -101947, 21753.3, 37.2092
250.5, 0, -101647, 21632.4, 46.7166
251, 0, -101350, 21510.3, 54.7608
251.5, 0, -101055, 21387.1, 61.3416
252, 0, -100761, 21262.7, 66.4591
252.5, 0, -100470, 21137.2, 70.1133
253, 0, -100181, 21010.5, 72.3041
253.5, 0, -99894.4, 20882.7, 73.0317
254, 0, -99609.5, 20753.8, 72.2959
254.5, 0, -99326.8, 20623.7, 70.0968
255, 0, -99042.4, 20500.8, 62.703
255.5, 0, -98753.7, 20388.8, 49.9633
256, 0, -98465, 20276.7, 37.2236
256.5, 0, -98176.3, 20164.6, 24.4839
257, 0, -97887.7, 20052.6, 11.7441
257.5, 0, -97599, 19940.5, -0.995597
258, 0, -97310.3, 19828.4, -13.7353
258.5, 0, -97021.6, 19716.4, -26.475
259, 0, -96732.9, 19604.3, -39.2148
259.5, 0, -96443.1, 19493.5, -44.8047
260, 0, -96152, 19386.6, -29.4147
260.5, 0, -95864.5, 19279.4, -15.1128
261, 0, -95580.7, 19172, -1.899
261.5, 0, -95300.3, 19064.3, 10.2267
262, 0, -95023.6, 18956.4, 21.2643
262.5, 0, -94750.5, 18848.3, 31.2138
263, 0, -94480.9, 18739.8, 40.0752
263.5, 0, -94214.9, 18631.2, 47.8485
264, 0, -93952.5, 18522.3, 54.5338
264.5, 0, -93693.7, 18413.1, 60.1309
265, 0, -93438.5, 18303.7, 64.6399
265.5, 0, -93186.8, 18194.1, 68.0608
266, 0, -92938.8, 18084.2, 70.3937
266.5, 0, -92694.3, 17974.1, 71.6384
267, 0, -92453.4, 17863.7, 71.7951
267.5, 0, -92216, 17753.1, 70.8636
268, 0, -91969.7, 17651.5, 58.2086
268.5, 0, -91719.9, 17552.8, 43.5296
269, 0, -91470.1, 17454.2, 30.2928
269.5, 0, -91220.1, 17355.7, 18.498
270, 0, -90970, 17257.4, 8.14544
270.5, 0, -90719.8, 17159.2, -0.765025
271, 0, -90469.5, 17061.1, -8.23336
271.5, 0, -90219.1, 16963.1, -14.2596
272, 0, -89968.5, 16865.3, -18.8437
272.5, 0, -89717.9, 16767.6, -21.9856
273, 0, -89467.2, 16670, -23.6854
273.5, 0, -89216.3, 16572.6, -23.9431
274, 0, -88968.9, 16476.9, -20.9875
274.5, 0, -88730.5, 16384, -14.4995
275, 0, -88495.7, 16291, -8.14824
275.5, 0, -88264.8, 16198, -1.93357
276, 0, -88037.5, 16104.8, 4.14447
276.5, 0, -87814, 16011.5, 10.0859
277, 0, -87594.3, 15918.1, 15.8907
277.5, 0, -87378.3, 15824.7, 21.5588
278, 0, -87166.1, 15731.1, 27.0903
278.5, 0, -86957.5, 15637.4, 32.4852
279, 0, -86752.8, 15543.7, 37.7435
279.5, 0, -86551.8, 15449.8, 42.8651
280, 0, -86354.5, 15355.8, 47.8501
280.5, 0, -86161, 15261.8, 52.6984
281, 0, -85947.5, 15171.7, 49.1486
281.5, 0, -85729.5, 15082.2, 44.02
282, 0, -85511.6, 14992.5, 39.0807
282.5, 0, -85293.8, 14902.5, 34.3307
283, 0, -85076, 14812.3, 29.77
283.5, 0, -84858.4, 14721.9, 25.3986
284, 0, -84640.9, 14631.2, 21.2164
284.5, 0, -84423.5, 14540.2, 17.2236
285, 0, -84206.1, 14449, 13.42
285.5, 0, -83988.9, 14357.5, 9.80571
286, 0, -83771.8, 14265.8, 6.38071
286.5, 0, -83554.8, 14173.9, 3.145
287, 0, -83340.2, 14082.4, -0.0496475
287.5, 0, -83152.6, 13999.5, -4.87801
288, 0, -82965, 13916.7, -9.70683
288.5, 0, -82777.5, 13833.8, -14.5361
289, 0, -82589.9, 13750.9, -19.3658
289.5, 0, -82402.3, 13668, -24.196
290, 0, -82214.8, 13585.1, -29.0267
290.5, 0, -82027.2, 13502.2, -33.8578
291, 0, -81839.7, 13419.3, -38.6894
291.5, 0, -81652.1, 13336.4, -43.5214
292, 0, -81464.5, 13253.5, -48.3539
292.5, 0, -81277, 13170.6, -53.1869
293, 0, -81089.4, 13087.7, -58.0203
293.5, 0, -80901.9, 13004.8, -62.8542
294, 0, -80712.5, 12921.9, -66.2687
294.5, 0, -80507.2, 12839, -56.6745
295, 0, -80304.2, 12756.3, -47.7366
295.5, 0, -80103.6, 12673.7, -39.4548
296, 0, -79905.3, 12591.2, -31.8292
296.5, 0, -79709.3, 12508.8, -24.8598
297, 0, -79515.7, 12426.6, -18.5465
297.5, 0, -79324.4, 12344.5, -12.8895
298, 0, -79135.4, 12262.5, -7.88864
298.5, 0, -78948.7, 12180.7, -3.54398
299, 0, -78764.4, 12098.9, 0.144501
299.5, 0, -78582.4, 12017.3, 3.17679
300, 0, -78402.7, 11935.9, 5.55289
300.5, 0, -78237.9, 11858.1, -0.368248
301, 0, -78078.2, 11782, -8.5292
301.5, 0, -77918.8, 11706.2, -15.972
302, 0, -77759.7, 11630.9, -22.6965
302.5, 0, -77600.8, 11555.8, -28.7028
303, 0, -77442.2, 11481.1, -33.991
303.5, 0, -77283.9, 11406.8, -38.5609
304, 0, -77125.8, 11332.9, -42.4126
304.5, 0, -76968, 11259.3, -45.5462
305, 0, -76810.5, 11186, -47.9615
305.5, 0, -76653.2, 11113.2, -49.6586
306, 0, -76496.3, 11040.7, -50.6375
306.5, 0, -76339.5, 10968.5, -50.8982
307, 0, -76183.1, 10896.7, -50.4407
307.5, 0, -76026.9, 10825.3, -49.265
308, 0, -75870.9, 10754.2, -47.3711
308.5, 0, -75715.3, 10683.5, -44.759
309, 0, -75553.7, 10613.6, -40.2084
309.5, 0, -75387.6, 10544.3, -34.4607
310, 0, -75222.3, 10475.2, -28.7071
310.5, 0, -75057.9, 10406.3, -22.9478
311, 0, -74894.2, 10337.6, -17.1825
311.5, 0, -74731.5, 10269.1, -11.4115
312, 0, -74569.5, 10200.9, -5.63459
312.5, 0, -74414.3, 10132.6, 0.555016
