x,y,u1,u2
0.0967797,2.51732,0.00605984,-0.000584129
0.0968583,2.4869,0.0060648,-0.000577081
0.096936,2.45646,0.00606971,-0.000570026
0.0970127,2.42599,0.00607456,-0.000562966
0.0970884,2.3955,0.00607935,-0.0005559
0.0971632,2.36499,0.00608408,-0.000548827
0.097237,2.33445,0.00608875,-0.000541749
0.0973099,2.30389,0.00609336,-0.000534666
0.0973817,2.27331,0.00609791,-0.000527576
0.0974527,2.24271,0.0061024,-0.000520481
0.0975227,2.21208,0.00610684,-0.00051338
0.0975917,2.18143,0.00611121,-0.000506274
0.0976597,2.15076,0.00611552,-0.000499163
0.0977268,2.12007,0.00611977,-0.000492046
0.0977929,2.08936,0.00612396,-0.000484924
0.0978581,2.05863,0.00612808,-0.000477796
0.0979223,2.02787,0.00613215,-0.000470663
0.0979855,1.9971,0.00613616,-0.000463526
0.0980478,1.96631,0.0061401,-0.000456383
0.0981091,1.93549,0.00614398,-0.000449235
0.0981694,1.90466,0.0061478,-0.000442082
0.0982287,1.87381,0.00615156,-0.000434925
0.0982871,1.84294,0.00615526,-0.000427762
0.0983445,1.81206,0.00615889,-0.000420595
0.098401,1.78115,0.00616247,-0.000413423
0.0984564,1.75023,0.00616598,-0.000406247
0.0985109,1.71929,0.00616942,-0.000399066
0.0985645,1.68833,0.00617281,-0.00039188
0.098617,1.65736,0.00617613,-0.00038469
0.0986686,1.62637,0.00617938,-0.000377496
0.0987192,1.59537,0.00618258,-0.000370297
0.0987688,1.56434,0.00618571,-0.000363094
0.0988175,1.53331,0.00618878,-0.000355896
0.0988652,1.50226,0.0061918,-0.000348696
0.0989119,1.47119,0.00619475,-0.000341492
0.0989576,1.44011,0.00619764,-0.000334285
0.0990024,1.40901,0.00620047,-0.000327074
0.0990461,1.3779,0.00620324,-0.00031986
0.0990889,1.34678,0.00620595,-0.000312642
0.0991308,1.31564,0.00620859,-0.000305421
0.0991716,1.28449,0.00621118,-0.000298197
0.0992115,1.25333,0.0062137,-0.00029097
0.0992504,1.22216,0.00621617,-0.000283739
0.0992883,1.19097,0.00621857,-0.000276506
0.0993252,1.15977,0.00622091,-0.000269269
0.0993611,1.12856,0.00622319,-0.00026203
0.0993961,1.09734,0.0062254,-0.000254788
0.0994301,1.06611,0.00622755,-0.000247543
0.0994631,1.03487,0.00622965,-0.000240296
0.0994951,1.00362,0.00623167,-0.000233045
0.0995261,0.972355,0.00623364,-0.000225793
0.0995562,0.941083,0.00623555,-0.000218537
0.0995853,0.909802,0.00623739,-0.00021128
0.0996134,0.878512,0.00623917,-0.000204019
0.0996405,0.847213,0.00624088,-0.000196757
0.0996666,0.815906,0.00624254,-0.000189492
0.0996917,0.784591,0.00624413,-0.000182226
0.0997159,0.753268,0.00624566,-0.000174957
0.0997391,0.721938,0.00624713,-0.000167686
0.0997613,0.6906,0.00624853,-0.000160413
0.0997825,0.659256,0.00624987,-0.000153138
0.0998027,0.627905,0.00625115,-0.000145861
0.0998219,0.596548,0.00625236,-0.000138583
0.0998402,0.565185,0.00625351,-0.000131302
0.0998574,0.533817,0.0062546,-0.000124021
0.0998737,0.502443,0.00625562,-0.000116741
0.099889,0.471065,0.00625659,-0.000109464
0.0999033,0.439681,0.00625749,-0.000102185
0.0999166,0.408294,0.00625832,-9.49059e-05
0.0999289,0.376902,0.0062591,-8.76258e-05
0.0999403,0.345506,0.00625982,-8.03449e-05
0.0999507,0.314108,0.00626047,-7.30634e-05
0.09996,0.282706,0.00626106,-6.57813e-05
0.0999684,0.251301,0.00626159,-5.84986e-05
0.0999758,0.219894,0.00626205,-5.12155e-05
0.0999822,0.188484,0.00626246,-4.39321e-05
0.0999877,0.157073,0.0062628,-3.66483e-05
0.0999921,0.12566,0.00626308,-2.93642e-05
0.0999956,0.0942464,0.0062633,-2.20799e-05
0.099998,0.0628314,0.00626345,-1.47956e-05
0.0999995,0.0314159,0.00626355,-7.51113e-06
0.1,-0,0.00626358,-2.267e-07
0.0999995,-0.0314159,0.00626355,7.05766e-06
0.099998,-0.0628314,0.00626346,1.43419e-05
0.0999956,-0.0942464,0.0062633,2.16259e-05
0.0999921,-0.12566,0.00626308,2.89096e-05
0.0999877,-0.157073,0.00626281,3.6193e-05
0.0999822,-0.188484,0.00626246,4.34761e-05
0.0999758,-0.219894,0.00626206,5.07586e-05
0.0999684,-0.251301,0.0062616,5.80406e-05
0.09996,-0.282706,0.00626107,6.5322e-05
0.0999507,-0.314108,0.00626048,7.26027e-05
0.0999403,-0.345506,0.00625983,7.98828e-05
0.0999289,-0.376902,0.00625911,8.7162e-05
0.0999166,-0.408294,0.00625834,9.44403e-05
0.0999033,-0.439681,0.0062575,0.000101718
0.099889,-0.471065,0.0062566,0.000108994
0.0998737,-0.502443,0.00625564,0.00011627
0.0998574,-0.533817,0.00625462,0.000123547
0.0998402,-0.565185,0.00625354,0.000130828
0.0998219,-0.596548,0.00625239,0.000138108
0.0998027,-0.627905,0.00625118,0.000145386
0.0997825,-0.659256,0.00624991,0.000152662
0.0997613,-0.6906,0.00624858,0.000159936
0.0997391,-0.721938,0.00624718,0.000167209
0.0997159,-0.753268,0.00624572,0.000174479
0.0996917,-0.784591,0.0062442,0.000181748
0.0996666,-0.815906,0.00624261,0.000189014
0.0996405,-0.847213,0.00624097,0.000196279
0.0996134,-0.878512,0.00623925,0.000203541
0.0995853,-0.909802,0.00623748,0.000210801
0.0995562,-0.941083,0.00623564,0.000218058
0.0995261,-0.972355,0.00623374,0.000225313
0.0994951,-1.00362,0.00623178,0.000232566
0.0994631,-1.03487,0.00622976,0.000239816
0.0994301,-1.06611,0.00622767,0.000247063
0.0993961,-1.09734,0.00622552,0.000254308
0.0993611,-1.12856,0.00622331,0.00026155
0.0993252,-1.15977,0.00622104,0.000268789
0.0992883,-1.19097,0.00621871,0.000276026
0.0992504,-1.22216,0.00621631,0.000283259
0.0992115,-1.25333,0.00621385,0.00029049
0.0991716,-1.28449,0.00621133,0.000297717
0.0991308,-1.31564,0.00620875,0.000304941
0.0990889,-1.34678,0.00620611,0.000312162
0.0990461,-1.3779,0.0062034,0.00031938
0.0990024,-1.40901,0.00620064,0.000326595
0.0989576,-1.44011,0.00619781,0.000333806
0.0989119,-1.47119,0.00619493,0.000341014
0.0988652,-1.50226,0.00619198,0.000348218
0.0988175,-1.53331,0.00618897,0.000355418
0.0987688,-1.56434,0.0061859,0.000362617
0.0987192,-1.59537,0.00618277,0.00036982
0.0986686,-1.62637,0.00617958,0.000377019
0.098617,-1.65736,0.00617633,0.000384213
0.0985645,-1.68833,0.00617301,0.000391403
0.0985109,-1.71929,0.00616963,0.000398589
0.0984564,-1.75023,0.00616619,0.00040577
0.098401,-1.78115,0.00616269,0.000412947
0.0983445,-1.81206,0.00615912,0.000420119
0.0982871,-1.84294,0.00615549,0.000427286
0.0982287,-1.87381,0.0061518,0.000434449
0.0981694,-1.90466,0.00614804,0.000441607
0.0981091,-1.93549,0.00614422,0.00044876
0.0980478,-1.96631,0.00614035,0.000455908
0.0979855,-1.9971,0.00613641,0.000463051
0.0979223,-2.02787,0.0061324,0.000470188
0.0978581,-2.05863,0.00612834,0.000477321
0.0977929,-2.08936,0.00612422,0.000484449
0.0977268,-2.12007,0.00612003,0.000491571
0.0976597,-2.15076,0.00611579,0.000498688
0.0975917,-2.18143,0.00611148,0.0005058
0.0975227,-2.21208,0.00610711,0.000512907
0.0974527,-2.24271,0.00610269,0.000520007
0.0973817,-2.27331,0.0060982,0.000527103
0.0973099,-2.30389,0.00609365,0.000534192
0.097237,-2.33445,0.00608904,0.000541276
0.0971632,-2.36499,0.00608438,0.000548354
0.0970884,-2.3955,0.00607965,0.000555427
0.0970127,-2.42599,0.00607486,0.000562493
0.096936,-2.45646,0.00607002,0.000569554
