x,y,sigxx,sigyy,sigxy,ux,vy
-0.96, -0.08, -1.16574e+07, -3.15321e+06, 12578.3, -3.75144e-05, 0.000185392
-0.96, -0.06, -1.1649e+07, -3.15976e+06, 10351.9, -3.74738e-05, 0.000188736
-0.96, -0.04, -1.16418e+07, -3.16503e+06, 9150.83, -3.74447e-05, 0.000192063
-0.96, -0.02, -1.16362e+07, -3.16739e+06, 6469.81, -3.74214e-05, 0.00019538
-0.96, 0, -1.16306e+07, -3.16972e+06, 3733, -3.74093e-05, 0.000198688
-0.96, 0.02, -1.16334e+07, -3.17066e+06, 773.038, -3.74066e-05, 0.000201991
-0.96, 0.04, -1.16364e+07, -3.17156e+06, -2131.74, -3.7415e-05, 0.000205296
-0.96, 0.06, -1.16402e+07, -3.16967e+06, -3532.74, -3.74292e-05, 0.000208603
-0.96, 0.08, -1.16448e+07, -3.16647e+06, -6036.97, -3.74549e-05, 0.000211918
-0.96, 0.1, -1.16509e+07, -3.16342e+06, -7477.43, -3.74882e-05, 0.000215244
-0.96, 0.12, -1.16628e+07, -3.15863e+06, -9454.14, -3.75299e-05, 0.000218583
-0.96, 0.14, -1.16746e+07, -3.15373e+06, -11064, -3.75804e-05, 0.00022194
-0.96, 0.16, -1.16884e+07, -3.1473e+06, -12408.3, -3.76359e-05, 0.000225317
-0.96, 0.18, -1.17028e+07, -3.14053e+06, -14103.2, -3.76995e-05, 0.000228717
-0.96, 0.2, -1.17179e+07, -3.13317e+06, -14942.3, -3.77677e-05, 0.000232141
-0.96, 0.22, -1.17347e+07, -3.1248e+06, -16235.5, -3.78413e-05, 0.000235593
-0.96, 0.24, -1.17519e+07, -3.11645e+06, -17076.3, -3.79193e-05, 0.000239073
-0.96, 0.26, -1.17712e+07, -3.10769e+06, -17430.1, -3.80003e-05, 0.000242583
-0.96, 0.28, -1.17906e+07, -3.09891e+06, -17803.8, -3.80845e-05, 0.000246123
-0.96, 0.3, -1.18107e+07, -3.09042e+06, -17671.9, -3.81702e-05, 0.000249695
-0.96, 0.32, -1.18315e+07, -3.08214e+06, -17317.6, -3.82572e-05, 0.000253299
-0.96, 0.34, -1.18522e+07, -3.07373e+06, -17053.8, -3.8345e-05, 0.000256935
-0.96, 0.36, -1.18728e+07, -3.06545e+06, -16415.8, -3.84328e-05, 0.000260602
-0.96, 0.38, -1.18934e+07, -3.05718e+06, -15797, -3.85199e-05, 0.000264301
-0.96, 0.4, -1.19137e+07, -3.04927e+06, -15140.5, -3.86062e-05, 0.000268029
-0.96, 0.42, -1.1934e+07, -3.04142e+06, -14236.5, -3.86908e-05, 0.000271788
-0.96, 0.44, -1.19537e+07, -3.03443e+06, -13472.5, -3.87735e-05, 0.000275575
-0.96, 0.46, -1.19726e+07, -3.02814e+06, -12327.7, -3.88541e-05, 0.000279389
-0.96, 0.48, -1.19917e+07, -3.02179e+06, -11097.3, -3.89324e-05, 0.00028323
-0.96, 0.5, -1.20102e+07, -3.01667e+06, -9701.72, -3.90082e-05, 0.000287096
-0.96, 0.52, -1.20285e+07, -3.01247e+06, -8910.71, -3.90811e-05, 0.000290984
-0.96, 0.54, -1.20464e+07, -3.0084e+06, -7860.28, -3.91516e-05, 0.000294895
-0.96, 0.56, -1.20629e+07, -3.00472e+06, -6576.66, -3.9219e-05, 0.000298826
-0.96, 0.58, -1.20794e+07, -3.00102e+06, -5515.65, -3.92836e-05, 0.000302777
